bed,row,col,unique.ID,phen,diam.mm,num.flw,num.fruit or date.collected,long.fruit.cm,total.branch,overhd.diam,overhd.perp,survey.date,survey.notes,
F,9,D,471,X,9.85,0,6/27/24,NA,3,25,22,6/27/24,,
F,10,C,621,P,18.24,0,6/20/24,9.3,1,71,110,6/20/24,,
F,10,D,575,,,,,,,,,,,
F,11,C,77,P,13,0,5/30/24,7.2,1,74.6,67,5/23/24,,
F,11,D,795,X,5.3,NA,7/11/24,NA,1,5,3,7/11/24,Dend 7/11/24,
F,12,C,914,,,,,,,,,,,
F,12,D,431,P,20.39,0,6/14/24,7.3,1,79,86,6/14/24,,
F,13,C,778,,,,,,,,,,,
F,13,D,848,NA,NA,NA,NA,NA,NA,N.A,NA,NA,missing and dead 7/11/24,
F,14,C,238,P,14.17,0,6/14/24,7.1,3,38,40,6/14/24,,
F,14,D,1070,P,5.54,0,6/20/24,NA,3,23.5,10.5,6/20/24,6/20/24 No fruit seen,
F,15,C,118,X,7.52,0,6/27/24,NA,3,21.6,17.5,6/27/24,,
F,15,D,2013,,,,,,,,,,,
F,16,C,400,P,17.4,0,5/30/24,7.5,1,102,76,5/14/24,,
F,16,D,606,P,18.41,0,6/20/24,9.6,1,75,84,6/20/24,,
F,17,C,1239,P,14.4,0,6/14/24,7,1,92,65,6/14/24,,
F,17,D,226,P,10.31,0,6/20/24,4.6,2,36,28,6/20/24,,
F,18,C,2049,P,15.7,0,6/20/24,8.5,3,47,90,6/20/24,,
F,18,D,719,P,18.78,0,6/14/24,8.6,1,72,71,6/14/24,,
F,19,C,1312,P,7.28,NA,7/11/24,0.7,2,27,18,7/11/24,,
F,19,D,1152,X,2.17,NA,7/11/24,NA,1,55,4,7/11/20,Dead 7/11/24,
F,20,C,47,P,12.61,0,5/30/24,9.8,1,36,20,5/23/24,,
F,20,D,340,,,,,,,,,,,
F,21,C,61,P,14.15,0,5/30/24,11,1,67.8,100,5/14/24,,
F,21,D,1366,P,16.63,0,6/14/24,9.5,1,66,65,6/14/24,,
F,22,C,829,X,5.93,NA,7/11/24,NA,1,7,6,7/11/24,Dead 7/11/24,
F,22,D,19,P,14.14,0,5/30/24,7,1,51,47,5/14/24,,
F,23,C,951,V,14.77,NA,,NA,1,20,18,7/11/24,,
F,23,D,buffer,,,,,,,,,,,
F,24,C,652,P,23.52,0,5/30/24,5.5,1,93,110,5/23/24,,
F,24,D,buffer,,,,,,,,,,,
F,25,C,1101,,,,,,,,,,,
F,25,D,1386,P,18.82,0,6/20/24,9.2,1,77,72,6/20/24,,
F,26,C,495,P,19.99,0,5/30/24,9.7,3,73,62,5/23/24,,
F,26,D,843,V,6.29,NA,,NA,2,28,19,7/11/24,,
F,27,C,787,,11.62,NA,,NA,1,39,31,7/11/20,dried flowers no fruit / unsure of phen,
F,27,D,1374,P,16.83,0,6/20/24,9.1,1,43,62,6/20/24,,
F,28,C,466,P,8.44,0,6/14/24,6.8,2,42,33,6/14/24,,
F,28,D,321,,,,,,,,,,,
F,29,C,691,P,14.88,0,5/30/24,8.7,1,60.5,87.5,5/14/24,Plant dying,
F,29,D,209,,,,,,,,,,,
F,30,C,350,,,,,,,,,,,
F,30,D,483,X,18.04,NA,7/11/24,NA,2,40,37,7/11/24,Dead 7AV24,
F,31,C,1234,,,,,,,,,,,
F,31,D,2008,P,17.48,0,6/20/24,9.5,1,69,76,6/26/24,,
F,32,C,676,P,24.29,0,6/14/24,7.9,1,92,86,6/14/24,,
F,32,D,113,X,6.13,0,6/27/24,NA,1,15.5,12.5,6/27/24,,
F,33,C,246,P,13.92,0,6/20/24,8.8,1,67,53,6/20/24,,
F,33,D,86,P,5.95,0,5/30/24,6.6,1,25,18,5/23/24,,
F,34,C,1029,X,9.82,0,6/27/24,NA,1,23,22.5,6/27/24,,
F,34,D,233,P,14.67,0,6/20/24,5.6,3,34,33,6/20/24,,
F,35,C,276,V,8.57,NA,,NA,3,14,9.5,7/11/24,,
F,35,D,993,P,13.48,0,6/20/24,9.4,1,87,68,6/20/24,,
F,36,C,1185,x,6.98,0,6/27/24,NA,5,10.5,9,6/27/24,,
F,36,D,1041,V,15.75,NA,,NA,2,17,17,7/11/24,,
F,37,C,1065,P,6.04,0,6/20/24,3.8,1,33,24,6/20/24,,
F,37,D,738,P,11.64,0,6/20/24,8.5,2,59,43,6/20/24,,
F,38,C,585,P,16.08,0,6/20/24,0,4,22,18,6/20/24,,
