"","bed","row","col","Unique.ID","diam.mm","height.cm","overhd.diam","overhd.perp","canopy.area"
"353","D",57,"A","buffer",NA,NA,NA,NA,NA
"354","D",57,"B","1327",2.48,27.7,30.8,24.9,602.337559472771
"355","D",58,"A","buffer",NA,NA,NA,NA,NA
"356","D",58,"B","2131",2.81,7.3,4,2.6,8.16814089933346
"357","D",1,"C","buffer",NA,NA,NA,NA,NA
"358","D",1,"D","buffer",NA,NA,NA,NA,NA
"359","D",2,"C","buffer",NA,NA,NA,NA,NA
"360","D",2,"D","buffer",NA,NA,NA,NA,NA
"361","D",3,"C","buffer",NA,NA,NA,NA,NA
"362","D",3,"D","buffer",NA,NA,NA,NA,NA
"363","D",4,"C","1901",2.12,6.9,3.8,3.4,10.147344271095
"364","D",4,"D","2221",NA,NA,NA,NA,NA
"365","D",5,"C","2292",2.75,5.3,9.4,6.2,45.7730049628033
"366","D",5,"D","2121",1.86,4,5.6,4.4,19.3522107461131
"367","D",6,"C",NA,NA,NA,NA,NA,NA
"368","D",6,"D",NA,NA,NA,NA,NA,NA
"369","D",7,"C","1751",2.7,11.3,5.6,5.4,23.7504404611388
"370","D",7,"D",NA,NA,NA,NA,NA,NA
"371","D",8,"C","2538",2.71,6.1,8.2,7.2,46.3699075669853
"372","D",8,"D","1856",NA,NA,NA,NA,NA
"373","D",9,"C","2622",1.72,5.6,4.3,4.1,13.846569620697
"374","D",9,"D","1768",3.13,28.23,7.8,6.7,41.0449080191506
"375","D",10,"C","2412",1.29,3,1.9,1.4,2.08915911463721
"376","D",10,"D","buffer",NA,NA,NA,NA,NA
"377","D",11,"C","1614",NA,NA,NA,NA,NA
"378","D",11,"D","buffer",NA,NA,NA,NA,NA
"379","D",12,"C","2257",3.68,7.2,1.3,1,1.02101761241668
"380","D",12,"D","2578",NA,NA,NA,NA,NA
"381","D",13,"C","144",2.27,NA,NA,NA,NA
"382","D",13,"D","2576",3.23,6,6.8,6,32.0442450666159
"383","D",14,"C","1976",NA,NA,NA,NA,NA
"384","D",14,"D","buffer",NA,NA,NA,NA,NA
"385","D",15,"C","2376",2.38,4.1,6.2,5.8,28.2429179557722
"386","D",15,"D","1667",NA,NA,NA,NA,NA
"387","D",16,"C","2343",2.48,4.8,4,3.4,10.6814150222053
"388","D",16,"D","2539",1.55,3.3,2.9,2.6,5.92190215201676
"389","D",17,"C","2644",NA,NA,NA,NA,NA
"390","D",17,"D","1791",NA,NA,NA,NA,NA
"391","D",18,"C","2510",2.32,5.2,3.7,2.8,8.13672497279756
"392","D",18,"D","2054",1.84,4.3,3.1,2.5,6.08683576633022
"393","D",19,"C","1767",2.3,12.2,4.5,4,14.1371669411541
"394","D",19,"D","1644",2.36,8.5,3.5,2.7,7.42201264410589
"395","D",20,"C","buffer",NA,NA,NA,NA,NA
"396","D",20,"D","2399",1.99,2.4,5,2.9,11.388273369263
"397","D",21,"C","buffer",NA,NA,NA,NA,NA
"398","D",21,"D","1977",2.66,8.2,7.7,6.1,36.8901517347781
"399","D",22,"C","53",2.53,NA,NA,NA,NA
"400","D",22,"D","buffer",NA,NA,NA,NA,NA
"401","D",23,"C","buffer",NA,NA,NA,NA,NA
"402","D",23,"D","815",1.35,NA,NA,NA,NA
"403","D",24,"C","2265",NA,NA,NA,NA,NA
"404","D",24,"D","2461",1.73,4,3.7,3.7,10.7521008569111
"405","D",25,"C","2047",2.67,4.7,5.6,4,17.5929188601028
"406","D",25,"D","2623",NA,NA,NA,NA,NA
"407","D",26,"C","1753",NA,NA,NA,NA,NA
"408","D",26,"D","1600",3.82,10.5,7.4,7.1,41.2648195049019
"409","D",27,"C","1837",2.85,5.9,6,3.7,17.4358392274234
"410","D",27,"D","2283",2.84,21.9,5.6,2.5,10.9955742875643
"411","D",28,"C","2501",NA,NA,NA,NA,NA
"412","D",28,"D","2129",1.17,4.7,3.3,2.4,6.22035345410779
"413","D",29,"C","1971",2.48,4,2.4,2,3.76991118430775
"414","D",29,"D","2617",2.35,8.3,4.4,3.8,13.1318572920053
"415","D",30,"C","1834",NA,NA,NA,NA,NA
"416","D",30,"D","2451",2.28,7,5.8,5.8,26.4207942166902
"417","D",31,"C","2540",2.54,7.9,6,5.1,24.0331837999619
"418","D",31,"D","2647",NA,NA,NA,NA,NA
"419","D",32,"C","2431",NA,NA,NA,NA,NA
"420","D",32,"D","2526",2.36,4,4.1,2.5,8.05033117482384
"421","D",33,"C","2422",2.66,6.6,6.8,6.2,33.1123865688364
"422","D",33,"D","2601",NA,NA,NA,NA,NA
"423","D",34,"C","1648",2.14,7,4.7,3.5,12.919799787888
"424","D",34,"D","2345",2.98,9.3,8,7.2,45.238934211693
"425","D",35,"C","204",NA,NA,NA,NA,NA
"426","D",35,"D","2479",NA,NA,NA,NA,NA
"427","D",36,"C",NA,NA,NA,NA,NA,NA
