bed ,row ,col ,unique.ID ,phen ,diam.mm ,num.flw ,num.fruit ,long.fruit.cm ,total.branch ,overhd.diam ,overhd.perp ,survey.date ,collected.date ,survey.notes
D ,16,A ,268,,,,,,,,,,,
D ,16,B ,1107,V ,2.17,0,0,NA ,1,3.9,1.8,10/23/24,,height: 4.8 
D ,17,A ,CC 9 9 ,,,,,,,,,,,
D ,17,B ,162,,,,,,,,,,,
D ,18,A ,203,,,,,,,,,,,7/9 wilted 
D ,18,B ,403,V ,2.83,0,0,NA ,1,4.2,3.1,10/23/24,,height: 3.9 
D ,19,A ,TM2_7_ 18 ,P ,3.01,0,15,3.3,1,15,13.2,10/23/24,10/23/24,"10/9 tape /partial harvest height:27.3; 3 fruit 10/23 collected 3 fruit, rest still green"
D ,19,B ,CC_4_9 ,,,,,,,,,,8/20/24,Stem broken 8/20 harvested fruit on broken repro stem 
D ,20,A ,988,,,,,,,,,,,
D ,20,B ,141,V ,0.97,0,0,NA ,1,1,0.5,10/23/24,,height 2.6 previously marked dead 10/16
D ,21,A ,SC_5_9 ,,,,,,,,,,,7/16 Wilting 
D ,21,B ,798,,,,,,,,,,,6/25/24 wilting 7/2 wilting 
D ,22,A ,467,,,,,,,,,,,6/25/24 wilting 
D ,22,B ,607,,,,,,,,,,,6/25/24 wilting 7/2 wilting 
D ,23,A ,1231,,,,,,,,,,,6/25/24 snapped off 
D ,23,B ,22,,,,,,,,,,,
D ,24,A ,969,,,,,,,,,,,6/25/24 wilting 
D ,24,B ,IH_1_9 ,,,,,,,,,,,
D ,25,A ,447,,,,,,,,,,,7/9/24 Ant hill Formed 
D ,25,B ,358,,,,,,,,,,,7/9 wilted 
D ,26,A ,950,,,,,,,,,,,6/25/24 wilting 
D ,26,B ,148,,,,,,,,,,,7/9 wilted 
D ,27,A ,1401,,,,,,,,,,,6/25/24 wilting 
D ,27,B ,756,,,,,,,,,,,
D ,28,A ,495,,,,,,,,,,,
D ,28,B ,1244,,,,,,,,,,,6/25/24 wilting 7/2 wilting 
D ,29,A ,75,,,,,,,,,,,7/2 wilting 
D ,29,B ,315,,,,,,,,,,,
D ,30,A ,NA ,,,,,,,,,,,
D ,30,B ,NA ,,,,,,,,,,,
D ,31,A ,103,V ,1.71,0,0,NA ,1,5.3,2.8,10/23/24,,height: 10.5 
D ,31,B ,813,,,,,,,,,,,6/25/24 wilting 
D ,32,A ,92,,,,,,,,,,,
D ,32,B ,538,,,,,,,,,,,
D ,33,A ,269,,,,,,,,,,,
D ,33,B ,741,,,,,,,,,,,7/2 wilting 
D ,34,A ,1280,V ,1.21,0,0,NA ,1,2.1,1.8,10/23/24,,height 3.7 
D ,34,B ,246,V ,3.4,0,0,NA ,1,4.7,4.7,10/23/24,,height: 5.4 
D ,35,A ,1101,V ,1.98,0,0,NA ,1,4.9,4.4,10/23/24,,height: 9.3 
D ,36,A ,503,V ,2.08,0,0,NA ,1,6.8,4.8,10/23/24,,height: 16.8 
D ,36,B ,190,V ,0.97,0,0,NA ,1,3.2,2.6,10/23/24,,height: 3.6 
D ,37,A ,1514,,,,,,,,,,,Dead at planting 
D ,37,B ,531,,,,,,,,,,,6/25/24 wilted 
D ,38,A ,713,,,,,,,,,,,7/9 wilted 
D ,38,B ,6,,,,,,,,,,,6/25/24 roots exposed 
D ,39,A ,350,,,,,,,,,,,
D ,39,B ,484,X ,1.24,0,0,NA ,1,1.9,0.7,10/2/24,,
D ,40,A ,1214,,,,,,,,,,,6/25/24 wilted 7/2 wilting 
D ,40,B ,BH_7_8 ,P ,2.07,0,6,7,1,,,8/6/24,8/27/24,8/13 tape fruit 
D ,41,A ,757,,,,,,,,,,,
D ,41,B ,559,,,,,,,,,,,
D ,42,A ,1232,,,,,,,,,,,6/25/24 gone 
D ,42,B ,897,,,,,,,,,,,7/2 wilted 
D ,43,A ,1190,,,,,,,,,,,
D ,43,B ,40,,,,,,,,,,,
D ,44,A ,895,V ,0.88,0,0,NA ,1,0.5,0.4,10/23/24,,height: 3.0 
D ,44,B ,NA ,,,,,,,,,,,
D ,45,A ,205,,,,,,,,,,,
D ,45,B ,960,,,,,,,,,,,
D ,46,A ,1023,,,,,,,,,,,
D ,46,B ,398,V ,1.78,0,0,NA ,1,4.8,2.9,10/23/24,,height: 6.3 
D ,47,A ,NA ,,,,,,,,,,,
D ,47,B ,157,,,,,,,,,,,6/25/24 wilting 
D ,48,A ,485,V ,0.81,0,0,NA ,1,1.8,1.7,10/23/24,NA ,height: 8.4 marked dead 10/16 but alive 10/23
D ,48,B ,1403,V ,1.48,0,0,NA ,1,4.5,3.2,10/23/24,,height: 7.0 
D ,49,A ,7,,,,,,,,,,,
D ,49,B ,778,,,,,,,,,,,
D ,50,A ,270,,,,,,,,,,,
D ,50,B ,490,,,,,,,,,,,
D ,51,A ,77,V ,1.52,0,0,NA ,1,3.1,2.3,10/23/24,,height: 5.3 
D ,51,B ,632,,,,,,,,,,,
D ,52,A ,299,V ,1.18,0,0,NA ,1,1.5,1.1,10/23/24,,height: 3.7
D ,52,B ,326,X ,1.53,0,0,NA ,1,NA ,NA ,10/9/24,NA ,10/9 only a stem 
D ,53,A ,522,V ,1.38,0,0,NA ,1,4.2,2.5,10/23/24,,height: 7.7 
D ,53,B ,NA ,,,,,,,,,,,
D ,54,A ,1117,,,,,,,,,,,
D ,54,B ,1387,,,,,,,,,,,6/25/24 wilting 
D ,55,A ,254,X ,1.13,0,0,NA ,1,1.5,1.8,10/2/24,NA ,
D ,55,B ,181,,,,,,,,,,,
D ,56,A ,558,,,,,,,,,,,6/25/24 gone 
D ,56,B ,NA ,,,,,,,,,,,
D ,57,A ,1242,,,,,,,,,,,6/25/24 wilting 
D ,57,B ,1344,,,,,,,,,,,Broken stem at planting 
D ,58,A ,buffer ,,,,,,,,,,,
D ,58,B ,1327,V ,1.18,0,0,NA ,1,4,3.8,10/23/24,,height: 3.6 Broken stem at planting 
